"","year","earnings_county","earnings_nation","transfers_county","tranfsers_nation"
"1","1970",16306.6964663289,22622.8920694749,2747.19013539341,2022.25451026917
"2","1971",16213.9568907796,22896.7278711753,3232.72295001875,2281.1441275486
"3","1972",17448.5469427655,24026.5885731187,3505.12886361203,2423.5059686465
"4","1973",18286.1178777999,25097.2748962741,3840.40063333737,2617.70280966437
"5","1974",18805.9335220818,24534.1268294277,3934.03210785864,2778.85949788508
"6","1975",19744.8979033635,24095.7559049219,4327.13169147868,3224.90948178434
"7","1976",20132.9214645457,24873.488912625,4630.01173141091,3284.7344803213
"8","1977",20619.5943922193,25640.8409801007,4894.33218728003,3260.64613898356
"9","1978",20915.8801138524,26822.7634517183,5104.11120912667,3219.78383643641
"10","1979",21744.084652312,27209.5076411665,5204.31010823064,3275.93001542611
"11","1980",20455.6751968236,26863.5741288702,5535.70058111081,3493.46292772844
"12","1981",20197.6840064957,27282.474524134,5673.98061318042,3609.67944712629
"13","1982",19383.7774011875,27285.3283481128,6217.3594485042,3791.64748693844
"14","1983",18765.5024103366,27684.4804880536,6473.20814745694,3891.33309297399
"15","1984",19758.275984675,29454.9180978816,6143.17874760781,3818.73165792934
"16","1985",19819.2985619309,30263.4602274678,6136.3020118314,3873.12347989007
"17","1986",19642.8278561625,31089.2644166449,6374.28815650497,3987.31174321955
"18","1987",19860.2340056516,31658.1153860365,6378.64626027516,4005.58566325019
"19","1988",21699.2142623523,32821.1384237482,6429.84322152292,4068.78599857639
"20","1989",22669.6553018216,33590.351936915,6481.39133182543,4220.87466062597
"21","1990",22789.0441781606,33668.9801014758,6824.58426004438,4417.83302976675
"22","1991",22738.0690063601,32892.819950568,7700.2059517304,4771.45241552301
"23","1992",22933.6305559531,33407.5083762095,7832.48444055937,5158.18645330535
"24","1993",22861.7859270284,33479.3786332108,8012.71173575019,5284.58439804887
"25","1994",23371.259881299,34082.7646329897,8009.89946051702,5355.54437456268
"26","1995",23979.6742205711,34884.8559474338,8069.27404213152,5496.23420092349
"27","1996",24056.9101998343,35884.5452523631,8385.65263917928,5576.05294063661
"28","1997",24752.3100179396,37137.3649538861,8486.88865166563,5591.85594166688
"29","1998",26259.7485728615,39341.67450113,8502.53566807218,5613.6925409028
"30","1999",27193.743467342,40418.7593282272,8792.67353010509,5663.33071182539
"31","2000",27391.5535242599,42271.8812111757,9056.29640743838,5751.5336070975
"32","2001",28334.0864050733,42497.1543066377,9601.38738616912,6118.8881671987
"33","2002",28167.0097486015,41837.7823915919,10160.8766746417,6533.00447166354
"34","2003",28683.7252478106,41956.6529140886,10304.0007525178,6697.51741266227
"35","2004",28768.9980317124,42804.2998608209,10613.780858746,6886.70939093686
"36","2005",28642.1716635986,43353.9060248726,10961.9950355764,7045.41459038752
"37","2006",28777.5347701418,44749.9481673377,11227.7623783495,7255.72276112277
"38","2007",29659.3057846011,45571.1148340708,11695.6080866391,7471.62891683909
"39","2008",29933.9691256557,45032.5374188699,12413.8932089837,8133.36583362448
"40","2009",29619.1979717071,42416.1175622615,12828.1046941373,8879.93557949695
"41","2010",28635.3512924653,42629.3025418191,13195.486880143,9366.75236870302
"42","2011",30788.9324084752,44151.7295528716,12943.8528240968,9177.32149388068
"43","2012",30726.5651227194,45320.088144074,12660.5143740841,8982.39217842093
"44","2013",30320.9931802005,44754.1589855395,12942.5320882987,9039.33164991157
"45","2014",30686.5691735418,46040.9769132083,13210.7146217417,9264.48074449808
"46","2015",31096.6487363214,47637.6406839401,13832.2739591269,9680.77958166646
"47","2016",30645.2782534569,48013.5307100558,14257.2696479455,9806.53822111282
"48","2017",31024.9597975904,49294.2147335137,14165.5712369227,9891.92814354325
"49","2018",32109.8983929578,50576.7521729994,14980.3581138226,10044.2226260615
"50","2019",32512.6796748248,51874.3260379842,15479.1224215878,10396.9899297104
"51","2020",32230.4204705049,52011.7695860115,19062.22913818,13590.7646357571
"52","2021",31748.2454241902,54216.4226992019,20375.4085492166,14376.1326160631
"53","2022",31174.9378047945,53928.1909045288,16795.6877990886,11541.5439886944
