"","year","transfers_govt_pce_per_capita_mutate","non_transfer_income_pce_per_capita_mutate"
"1","1970",100,100
"2","1971",112.802029416415,101.21043675963
"3","1972",119.841788278367,106.204761527982
"4","1973",129.444775441047,110.937517710823
"5","1974",137.413934980677,108.448233559544
"6","1975",159.470999590209,106.510501977041
"7","1976",162.429331404191,109.948316228706
"8","1977",161.238168708525,113.340243596432
"9","1978",159.217537658395,118.56469707474
"10","1979",161.99395272903,120.274222931383
"11","1980",172.750903013857,118.745092565407
"12","1981",178.497781995098,120.596758541523
"13","1982",187.496057874227,120.609373303464
"14","1983",192.425487158688,122.373746040225
"15","1984",188.835363626958,130.19961376921
"16","1985",191.525026163722,133.773613623443
"17","1986",197.171608369355,137.423916982717
"18","1987",198.075249327397,139.938409681726
"19","1988",201.200490735205,145.079321967123
"20","1989",208.721238557859,148.479477485721
"21","1990",218.460782623188,148.827037666442
"22","1991",235.947176346656,145.396175915767
"23","1992",255.071081662158,147.67125385037
"24","1993",261.321429682235,147.988942043288
"25","1994",264.830383483721,150.656089983197
"26","1995",271.787461618366,154.201575290649
"27","1996",275.734479133114,158.620503259094
"28","1997",276.515933739843,164.158343857352
"29","1998",277.595748329205,173.902056290202
"30","1999",280.05034396346,178.663095788554
"31","2000",284.411955957608,186.854452920337
"32","2001",302.57755075469,187.850227884786
"33","2002",323.055502583301,184.935605328921
"34","2003",331.190628016985,185.461048858119
"35","2004",340.546125918652,189.20790378776
"36","2005",348.394059927192,191.637328648046
"37","2006",358.79374847615,197.808255593098
"38","2007",369.470256038375,201.438059705726
"39","2008",402.192987693814,199.057385238699
"40","2009",439.110682379687,187.492021055494
"41","2010",463.183655723743,188.434362905081
"42","2011",453.816344445148,195.163949053381
"43","2012",444.17713659718,200.328446092992
"44","2013",446.992779791521,197.826868678414
"45","2014",458.126348461695,203.514991681065
"46","2015",478.712226008482,210.572726677229
"47","2016",484.930960535107,212.234273861212
"48","2017",489.153471697615,217.895283158896
"49","2018",496.684397293028,223.56448511392
"50","2019",514.128655760868,229.30015260064
"51","2020",672.060048166149,229.907694499373
"52","2021",710.896306229505,239.652925597236
"53","2022",570.726579176138,238.378854210661
