"","year","share_transfers_govt_personal_income"
"1","1970",8.2054878583326
"2","1971",9.06011488049595
"3","1972",9.16256070396927
"4","1973",9.44508358418588
"5","1974",10.1741327901089
"6","1975",11.8039199856147
"7","1976",11.6652760171799
"8","1977",11.2819320526606
"9","1978",10.717412892967
"10","1979",10.74588481336
"11","1980",11.5079179869074
"12","1981",11.6847774696593
"13","1982",12.200825160928
"14","1983",12.3237777642319
"15","1984",11.4767441682962
"16","1985",11.3459610167588
"17","1986",11.36744853616
"18","1987",11.2315478915509
"19","1988",11.0295319448095
"20","1989",11.1630196649068
"21","1990",11.5993769668873
"22","1991",12.6683780563852
"23","1992",13.3750642276973
"24","1993",13.6327247907736
"25","1994",13.5795486909368
"26","1995",13.6109109009457
"27","1996",13.4490412190389
"28","1997",13.0867257218089
"29","1998",12.4872577186481
"30","1999",12.28965679921
"31","2000",11.976519430911
"32","2001",12.5861502825774
"33","2002",13.5060950944056
"34","2003",13.7655567193587
"35","2004",13.8590652406466
"36","2005",13.9791856405586
"37","2006",13.9517914711721
"38","2007",14.0860528481069
"39","2008",15.2980864352058
"40","2009",17.3111478088907
"41","2010",18.0143520211714
"42","2011",17.2088595498074
"43","2012",16.5414031275841
"44","2013",16.8037648108198
"45","2014",16.7514765031641
"46","2015",16.889473814538
"47","2016",16.9604402111435
"48","2017",16.7132502013031
"49","2018",16.5688899912198
"50","2019",16.6962746300467
"51","2020",20.7168286972173
"52","2021",20.9587360464814
"53","2022",17.6288234670843
